name,type,start_time,duration
"Test Analyzer","error",1.2174149,0.00011
"Test Analyzer","enable",1.2185179,1e-07
"Test Analyzer","disable",1.2193592,1e-07
"Test Analyzer","error",1.220881,0.0018604
"Test Analyzer","error",1.224708,0.0017821
"Test Analyzer","enable",1.2278616,1e-07
"Test Analyzer","disable",1.2306911,1e-07
"Test Analyzer","error",1.2312658,0.0025789
"Test Analyzer","enable",1.2350819,1e-07
"Test Analyzer","disable",1.2359175,1e-07
"Test Analyzer","enable",1.2389306,1e-07
"Test Analyzer","disable",1.2417943,1e-07
"Test Analyzer","error",1.2428254,0.0008359
"Test Analyzer","error",1.2460191,7.02e-05
"Test Analyzer","error",1.247403,0.0032375
